id,nombre,email,edad,fechaRegistro,activo
usr_0001,usuario_0001,usuario_0001@ejemplo.com,61,2022-08-21,True
usr_0002,usuario_0002,usuario_0002@ejemplo.com,40,2021-01-28,True
usr_0003,usuario_0003,usuario_0003@ejemplo.com,67,2023-08-03,True
usr_0004,usuario_0004,usuario_0004@ejemplo.com,66,2020-12-06,True
usr_0005,usuario_0005,usuario_0005@ejemplo.com,58,2024-02-22,True
usr_0006,usuario_0006,usuario_0006@ejemplo.com,44,2020-06-30,False
usr_0007,usuario_0007,usuario_0007@ejemplo.com,22,2023-09-24,False
usr_0008,usuario_0008,usuario_0008@ejemplo.com,64,2020-11-25,False
usr_0009,usuario_0009,usuario_0009@ejemplo.com,52,2025-03-30,False
usr_0010,usuario_0010,usuario_0010@ejemplo.com,62,2021-05-28,False
usr_0011,usuario_0011,usuario_0011@ejemplo.com,41,2024-01-21,True
usr_0012,usuario_0012,usuario_0012@ejemplo.com,75,2025-01-01,True
usr_0013,usuario_0013,usuario_0013@ejemplo.com,55,2022-08-19,True
usr_0014,usuario_0014,usuario_0014@ejemplo.com,28,2023-11-02,True
usr_0015,usuario_0015,usuario_0015@ejemplo.com,56,2021-07-25,False
usr_0016,usuario_0016,usuario_0016@ejemplo.com,50,2024-03-31,False
usr_0017,usuario_0017,usuario_0017@ejemplo.com,63,2024-11-17,True
usr_0018,usuario_0018,usuario_0018@ejemplo.com,41,2022-12-14,True
usr_0019,usuario_0019,usuario_0019@ejemplo.com,51,2024-11-12,True
usr_0020,usuario_0020,usuario_0020@ejemplo.com,73,2020-09-08,True
usr_0021,usuario_0021,usuario_0021@ejemplo.com,26,2024-01-22,True
usr_0022,usuario_0022,usuario_0022@ejemplo.com,20,2024-04-29,True
usr_0023,usuario_0023,usuario_0023@ejemplo.com,74,2023-12-08,True
usr_0024,usuario_0024,usuario_0024@ejemplo.com,23,2022-11-11,True
usr_0025,usuario_0025,usuario_0025@ejemplo.com,70,2025-04-07,False
usr_0026,usuario_0026,usuario_0026@ejemplo.com,26,2021-12-14,True
usr_0027,usuario_0027,usuario_0027@ejemplo.com,58,2023-04-02,True
usr_0028,usuario_0028,usuario_0028@ejemplo.com,70,2024-02-08,True
usr_0029,usuario_0029,usuario_0029@ejemplo.com,73,2022-10-24,True
usr_0030,usuario_0030,usuario_0030@ejemplo.com,32,2021-11-30,True
usr_0031,usuario_0031,usuario_0031@ejemplo.com,32,2020-05-11,True
usr_0032,usuario_0032,usuario_0032@ejemplo.com,35,2023-01-08,True
usr_0033,usuario_0033,usuario_0033@ejemplo.com,20,2021-06-19,True
usr_0034,usuario_0034,usuario_0034@ejemplo.com,18,2024-12-28,True
usr_0035,usuario_0035,usuario_0035@ejemplo.com,37,2022-04-03,True
usr_0036,usuario_0036,usuario_0036@ejemplo.com,16,2021-02-19,True
usr_0037,usuario_0037,usuario_0037@ejemplo.com,47,2020-11-04,False
usr_0038,usuario_0038,usuario_0038@ejemplo.com,45,2021-01-25,True
usr_0039,usuario_0039,usuario_0039@ejemplo.com,57,2021-09-12,True
usr_0040,usuario_0040,usuario_0040@ejemplo.com,34,2022-07-03,False
usr_0041,usuario_0041,usuario_0041@ejemplo.com,38,2022-06-26,True
usr_0042,usuario_0042,usuario_0042@ejemplo.com,42,2024-08-23,False
usr_0043,usuario_0043,usuario_0043@ejemplo.com,56,2020-10-12,True
usr_0044,usuario_0044,usuario_0044@ejemplo.com,27,2020-10-29,True
usr_0045,usuario_0045,usuario_0045@ejemplo.com,18,2022-12-10,False
usr_0046,usuario_0046,usuario_0046@ejemplo.com,26,2024-10-07,False
usr_0047,usuario_0047,usuario_0047@ejemplo.com,73,2023-01-03,True
usr_0048,usuario_0048,usuario_0048@ejemplo.com,39,2021-08-21,True
usr_0049,usuario_0049,usuario_0049@ejemplo.com,34,2022-06-16,False
usr_0050,usuario_0050,usuario_0050@ejemplo.com,18,2023-11-04,True
usr_0051,usuario_0051,usuario_0051@ejemplo.com,28,2020-02-11,True
usr_0052,usuario_0052,usuario_0052@ejemplo.com,69,2022-01-10,False
usr_0053,usuario_0053,usuario_0053@ejemplo.com,26,2022-12-02,True
usr_0054,usuario_0054,usuario_0054@ejemplo.com,40,2022-08-14,True
usr_0055,usuario_0055,usuario_0055@ejemplo.com,40,2021-03-04,True
usr_0056,usuario_0056,usuario_0056@ejemplo.com,40,2021-02-18,True
usr_0057,usuario_0057,usuario_0057@ejemplo.com,16,2024-10-10,True
usr_0058,usuario_0058,usuario_0058@ejemplo.com,39,2020-03-26,True
usr_0059,usuario_0059,usuario_0059@ejemplo.com,45,2020-11-18,False
usr_0060,usuario_0060,usuario_0060@ejemplo.com,72,2020-11-07,True
usr_0061,usuario_0061,usuario_0061@ejemplo.com,30,2025-04-18,True
usr_0062,usuario_0062,usuario_0062@ejemplo.com,59,2024-12-28,False
usr_0063,usuario_0063,usuario_0063@ejemplo.com,34,2023-05-31,True
usr_0064,usuario_0064,usuario_0064@ejemplo.com,47,2024-08-17,True
usr_0065,usuario_0065,usuario_0065@ejemplo.com,65,2024-12-20,False
usr_0066,usuario_0066,usuario_0066@ejemplo.com,33,2023-03-15,True
usr_0067,usuario_0067,usuario_0067@ejemplo.com,55,2020-07-03,False
usr_0068,usuario_0068,usuario_0068@ejemplo.com,66,2021-05-05,True
usr_0069,usuario_0069,usuario_0069@ejemplo.com,69,2023-08-28,True
usr_0070,usuario_0070,usuario_0070@ejemplo.com,69,2023-10-24,True
usr_0071,usuario_0071,usuario_0071@ejemplo.com,29,2025-04-14,True
usr_0072,usuario_0072,usuario_0072@ejemplo.com,18,2023-12-31,True
usr_0073,usuario_0073,usuario_0073@ejemplo.com,39,2022-04-23,True
usr_0074,usuario_0074,usuario_0074@ejemplo.com,64,2022-02-07,False
usr_0075,usuario_0075,usuario_0075@ejemplo.com,26,2024-03-19,True
usr_0076,usuario_0076,usuario_0076@ejemplo.com,48,2021-07-15,True
usr_0077,usuario_0077,usuario_0077@ejemplo.com,68,2021-10-13,True
usr_0078,usuario_0078,usuario_0078@ejemplo.com,19,2021-08-17,True
usr_0079,usuario_0079,usuario_0079@ejemplo.com,49,2023-07-25,True
usr_0080,usuario_0080,usuario_0080@ejemplo.com,44,2023-06-14,False
usr_0081,usuario_0081,usuario_0081@ejemplo.com,24,2020-11-29,True
usr_0082,usuario_0082,usuario_0082@ejemplo.com,19,2024-04-13,True
usr_0083,usuario_0083,usuario_0083@ejemplo.com,55,2020-01-04,True
usr_0084,usuario_0084,usuario_0084@ejemplo.com,48,2022-05-24,True
usr_0085,usuario_0085,usuario_0085@ejemplo.com,17,2022-02-22,False
usr_0086,usuario_0086,usuario_0086@ejemplo.com,62,2020-03-30,True
usr_0087,usuario_0087,usuario_0087@ejemplo.com,26,2024-11-09,False
usr_0088,usuario_0088,usuario_0088@ejemplo.com,72,2020-01-13,True
usr_0089,usuario_0089,usuario_0089@ejemplo.com,41,2023-04-25,True
usr_0090,usuario_0090,usuario_0090@ejemplo.com,55,2020-07-31,False
usr_0091,usuario_0091,usuario_0091@ejemplo.com,31,2023-06-08,True
usr_0092,usuario_0092,usuario_0092@ejemplo.com,27,2022-11-12,True
usr_0093,usuario_0093,usuario_0093@ejemplo.com,73,2024-08-12,False
usr_0094,usuario_0094,usuario_0094@ejemplo.com,72,2024-08-07,True
usr_0095,usuario_0095,usuario_0095@ejemplo.com,72,2021-10-01,True
usr_0096,usuario_0096,usuario_0096@ejemplo.com,19,2020-02-18,False
usr_0097,usuario_0097,usuario_0097@ejemplo.com,39,2023-07-07,False
usr_0098,usuario_0098,usuario_0098@ejemplo.com,49,2023-01-19,True
usr_0099,usuario_0099,usuario_0099@ejemplo.com,35,2022-08-21,True
usr_0100,usuario_0100,usuario_0100@ejemplo.com,69,2024-08-22,True
usr_0101,usuario_0101,usuario_0101@ejemplo.com,73,2020-06-04,False
usr_0102,usuario_0102,usuario_0102@ejemplo.com,37,2020-04-24,True
usr_0103,usuario_0103,usuario_0103@ejemplo.com,73,2023-10-31,True
usr_0104,usuario_0104,usuario_0104@ejemplo.com,24,2025-01-10,True
usr_0105,usuario_0105,usuario_0105@ejemplo.com,64,2022-12-10,True
usr_0106,usuario_0106,usuario_0106@ejemplo.com,37,2021-06-28,True
usr_0107,usuario_0107,usuario_0107@ejemplo.com,69,2024-09-07,True
usr_0108,usuario_0108,usuario_0108@ejemplo.com,44,2020-06-05,True
usr_0109,usuario_0109,usuario_0109@ejemplo.com,56,2025-03-09,True
usr_0110,usuario_0110,usuario_0110@ejemplo.com,58,2022-08-08,True
usr_0111,usuario_0111,usuario_0111@ejemplo.com,54,2022-11-22,True
usr_0112,usuario_0112,usuario_0112@ejemplo.com,16,2020-12-11,True
usr_0113,usuario_0113,usuario_0113@ejemplo.com,57,2023-09-11,True
usr_0114,usuario_0114,usuario_0114@ejemplo.com,37,2023-08-01,True
usr_0115,usuario_0115,usuario_0115@ejemplo.com,68,2022-05-21,False
usr_0116,usuario_0116,usuario_0116@ejemplo.com,43,2020-07-12,True
usr_0117,usuario_0117,usuario_0117@ejemplo.com,49,2021-11-26,True
usr_0118,usuario_0118,usuario_0118@ejemplo.com,74,2021-03-31,True
usr_0119,usuario_0119,usuario_0119@ejemplo.com,64,2020-09-06,False
usr_0120,usuario_0120,usuario_0120@ejemplo.com,63,2020-06-14,True
usr_0121,usuario_0121,usuario_0121@ejemplo.com,44,2023-03-23,True
usr_0122,usuario_0122,usuario_0122@ejemplo.com,37,2021-06-07,True
usr_0123,usuario_0123,usuario_0123@ejemplo.com,25,2023-02-26,True
usr_0124,usuario_0124,usuario_0124@ejemplo.com,33,2024-03-23,True
usr_0125,usuario_0125,usuario_0125@ejemplo.com,25,2020-01-12,True
usr_0126,usuario_0126,usuario_0126@ejemplo.com,47,2023-10-07,True
usr_0127,usuario_0127,usuario_0127@ejemplo.com,37,2024-05-29,True
usr_0128,usuario_0128,usuario_0128@ejemplo.com,18,2022-11-08,True
usr_0129,usuario_0129,usuario_0129@ejemplo.com,23,2020-08-14,False
usr_0130,usuario_0130,usuario_0130@ejemplo.com,70,2022-03-14,True
usr_0131,usuario_0131,usuario_0131@ejemplo.com,22,2024-07-27,True
usr_0132,usuario_0132,usuario_0132@ejemplo.com,41,2023-05-28,False
usr_0133,usuario_0133,usuario_0133@ejemplo.com,25,2021-11-15,True
usr_0134,usuario_0134,usuario_0134@ejemplo.com,69,2021-11-01,True
usr_0135,usuario_0135,usuario_0135@ejemplo.com,45,2024-02-17,True
usr_0136,usuario_0136,usuario_0136@ejemplo.com,60,2020-10-05,True
usr_0137,usuario_0137,usuario_0137@ejemplo.com,62,2025-02-23,True
usr_0138,usuario_0138,usuario_0138@ejemplo.com,29,2024-12-22,True
usr_0139,usuario_0139,usuario_0139@ejemplo.com,30,2020-04-20,True
usr_0140,usuario_0140,usuario_0140@ejemplo.com,67,2023-11-10,True
usr_0141,usuario_0141,usuario_0141@ejemplo.com,38,2020-04-03,True
usr_0142,usuario_0142,usuario_0142@ejemplo.com,46,2021-05-28,False
usr_0143,usuario_0143,usuario_0143@ejemplo.com,67,2020-11-07,True
usr_0144,usuario_0144,usuario_0144@ejemplo.com,50,2021-04-16,True
usr_0145,usuario_0145,usuario_0145@ejemplo.com,33,2020-04-06,True
